factura_id,cliente,fecha,subtotal,iva,total_x,valida,total_y,diff
F25-0304,Tech Solutions,2025-01-10,6025.5,1144.85,7170.35,1,6025.5,0.0
F25-0305,Logística Global,2025-02-10,10800.0,2052.0,12852.0,1,10800.0,0.0
F25-0306,Logística Global,2025-01-16,13170.0,2502.3,15672.3,1,13170.0,0.0
F25-0307,Logística Global,2025-03-26,487.44,92.61,580.05,1,487.44,0.0
F25-0308,Inversiones ABC,2025-09-05,8483.97,1611.95,10095.92,1,8483.97,0.0
F25-0309,Servicios Express,2025-07-16,14689.5,2791.01,17480.51,1,14689.5,0.0
F25-0310,Tech Solutions,2025-07-26,436.5,82.94,519.43,1,436.5,0.0
F25-0311,Servicios Express,2025-07-21,12300.0,2337.0,14637.0,1,12300.0,0.0
F25-0312,Logística Global,2025-03-13,2500.5,475.1,2975.6,1,2500.5,0.0
F25-0313,Logística Global,2025-08-29,465.0,88.35,553.35,1,465.0,0.0
F25-0314,Inversiones ABC,2025-01-01,7980.0,1516.2,9496.2,1,7980.0,0.0
F25-0315,Logística Global,2025-12-29,150.0,28.5,178.5,1,150.0,0.0
F25-0316,Inversiones ABC,2025-12-08,825.0,156.75,981.75,1,825.0,0.0
F25-0317,Tienda Don Pepe,2025-02-24,1430.4,271.78,1702.18,1,1430.4,0.0
F25-0318,Tech Solutions,2025-02-24,1648.5,313.22,1961.72,1,1648.5,0.0
F25-0319,Inversiones ABC,2025-04-19,1200.0,228.0,1428.0,1,1200.0,0.0
F25-0320,Logística Global,2025-09-11,12.99,2.47,15.46,1,12.99,0.0
F25-0321,Tech Solutions,2025-08-27,14412.99,2738.47,17151.46,1,14412.99,0.0
F25-0322,Logística Global,2025-06-14,180.0,34.2,214.2,1,180.0,0.0
F25-0323,Logística Global,2025-07-21,1285.98,244.34,1530.32,1,1285.98,0.0
F25-0324,Inversiones ABC,2025-06-02,6270.0,1191.3,7461.3,1,6270.0,0.0
F25-0325,Logística Global,2025-09-08,630.0,119.7,749.7,1,630.0,0.0
F25-0326,Inversiones ABC,2025-03-13,6000.0,1140.0,7140.0,1,6000.0,0.0
F25-0327,Tech Solutions,2025-09-24,900.0,171.0,1071.0,1,900.0,0.0
F25-0328,Inversiones ABC,2025-08-19,90.0,17.1,107.1,1,90.0,0.0
F25-0329,Inversiones ABC,2025-05-22,9304.5,1767.86,11072.35,1,9304.5,0.0
F25-0330,Tienda Don Pepe,2025-08-20,10800.0,2052.0,12852.0,1,10800.0,0.0
F25-0331,Servicios Express,2025-01-27,751.98,142.88,894.86,1,751.98,0.0
F25-0332,Inversiones ABC,2025-02-15,426.81,81.09,507.9,1,426.81,0.0
F25-0333,Tienda Don Pepe,2025-10-03,2355.0,447.45,2802.45,1,2355.0,0.0
F25-0334,Inversiones ABC,2025-01-20,1320.93,250.98,1571.91,1,1320.93,0.0
F25-0335,Servicios Express,2025-08-01,8587.5,1631.62,10219.12,1,8587.5,0.0
F25-0336,Servicios Express,2025-01-13,1127.43,214.21,1341.64,1,1127.43,0.0
F25-0337,Tech Solutions,2025-05-02,957.99,182.02,1140.01,1,957.99,0.0
F25-0338,Tienda Don Pepe,2025-07-22,588.9,111.89,700.79,1,588.9,0.0
F25-0339,Servicios Express,2025-03-17,8400.0,1596.0,9996.0,1,8400.0,0.0
F25-0340,Inversiones ABC,2025-06-30,1105.5,210.05,1315.55,1,1105.5,0.0
F25-0341,Servicios Express,2025-01-05,38.97,7.4,46.37,1,38.97,0.0
F25-0342,Logística Global,2025-01-24,180.0,34.2,214.2,1,180.0,0.0
F25-0343,Inversiones ABC,2025-12-09,987.93,187.71,1175.64,1,987.9300000000001,-1.1368683772161603e-13
F25-0344,Inversiones ABC,2025-03-31,19329.9,3672.68,23002.58,1,19329.9,0.0
F25-0345,Servicios Express,2025-06-15,358.92,68.19,427.11,1,358.92,0.0
F25-0346,Inversiones ABC,2025-12-25,396.96,75.42,472.38,1,396.96,0.0
F25-0347,Inversiones ABC,2025-01-18,1778.97,338.0,2116.97,1,1778.97,0.0
F25-0348,Servicios Express,2025-09-23,1294.5,245.96,1540.45,1,1294.5,0.0
F25-0349,Tech Solutions,2025-02-28,9600.0,1824.0,11424.0,1,9600.0,0.0
F25-0350,Tienda Don Pepe,2025-10-25,1224.9,232.73,1457.63,1,1224.9,0.0
F25-0351,Logística Global,2025-07-05,256.5,48.73,305.24,1,256.5,0.0
F25-0352,Tienda Don Pepe,2025-02-23,6512.94,1237.46,7750.4,1,6512.94,0.0
F25-0353,Tech Solutions,2025-03-01,18778.92,3567.99,22346.91,1,18778.92,0.0
F25-0354,Tienda Don Pepe,2025-04-28,19994.85,3799.02,23793.87,1,19994.85,0.0
F25-0355,Inversiones ABC,2025-11-15,178.92,33.99,212.91,1,178.92000000000002,-2.842170943040401e-14
F25-0356,Tienda Don Pepe,2025-05-31,360.93,68.58,429.51,1,360.93,0.0
F25-0357,Logística Global,2025-02-20,552.0,104.88,656.88,1,552.0,0.0
F25-0358,Servicios Express,2025-03-26,6168.39,1171.99,7340.38,1,6168.39,0.0
F25-0359,Inversiones ABC,2025-10-31,10221.0,1941.99,12162.99,1,10221.0,0.0
F25-0360,Tech Solutions,2025-08-25,6360.0,1208.4,7568.4,1,6360.0,0.0
F25-0361,Servicios Express,2025-03-22,888.0,168.72,1056.72,1,888.0,0.0
F25-0362,Logística Global,2025-02-15,2070.0,393.3,2463.3,1,2070.0,0.0
F25-0363,Tech Solutions,2025-08-10,1395.0,265.05,1660.05,1,1395.0,0.0
F25-0364,Inversiones ABC,2025-05-29,1950.0,370.5,2320.5,1,1950.0,0.0
F25-0365,Tech Solutions,2025-10-07,1485.0,282.15,1767.15,1,1485.0,0.0
F25-0366,Tienda Don Pepe,2025-04-01,178.5,33.91,212.41,1,178.5,0.0
F25-0367,Logística Global,2025-02-25,8289.9,1575.08,9864.98,1,8289.9,0.0
F25-0368,Inversiones ABC,2025-09-02,525.0,99.75,624.75,1,525.0,0.0
F25-0369,Servicios Express,2025-11-10,12.99,2.47,15.46,1,12.99,0.0
F25-0370,Tienda Don Pepe,2025-02-06,923.97,175.55,1099.52,1,923.97,0.0
F25-0371,Inversiones ABC,2025-04-22,129.9,24.68,154.58,1,129.9,0.0
F25-0372,Tech Solutions,2025-03-28,1079.85,205.17,1285.02,1,1079.8500000000001,-2.2737367544323206e-13
F25-0373,Inversiones ABC,2025-10-16,6399.84,1215.97,7615.81,1,6295.92,103.92000000000007
F25-0374,Inversiones ABC,2025-10-29,11340.0,2154.6,13494.6,1,11340.0,0.0
F25-0375,Tienda Don Pepe,2025-09-25,10731.9,2039.06,12770.96,1,10731.9,0.0
F25-0376,Tech Solutions,2025-05-25,2145.0,407.55,2552.55,1,2145.0,0.0
F25-0377,Tienda Don Pepe,2025-12-11,3510.0,666.9,4176.9,1,3510.0,0.0
F25-0378,Inversiones ABC,2025-06-06,600.0,114.0,714.0,1,600.0,0.0
F25-0379,Logística Global,2025-07-26,1689.0,320.91,2009.91,1,1689.0,0.0
F25-0380,Servicios Express,2025-04-24,1736.43,329.92,2066.35,1,1736.43,0.0
F25-0381,Logística Global,2025-07-06,1740.0,330.6,2070.6,1,1740.0,0.0
F25-0382,Servicios Express,2025-01-06,10875.0,2066.25,12941.25,1,10875.0,0.0
F25-0383,Logística Global,2025-08-06,405.0,76.95,481.95,1,405.0,0.0
F25-0384,Logística Global,2025-01-07,1542.99,293.17,1836.16,1,1542.99,0.0
F25-0385,Inversiones ABC,2025-07-25,360.0,68.4,428.4,1,360.0,0.0
F25-0386,Tech Solutions,2025-02-21,885.0,168.15,1053.15,1,885.0,0.0
F25-0387,Servicios Express,2025-11-15,478.5,90.92,569.41,1,478.5,0.0
F25-0388,Inversiones ABC,2025-04-05,916.5,174.13,1090.63,1,916.5,0.0
F25-0389,Servicios Express,2025-03-16,270.0,51.3,321.3,1,270.0,0.0
F25-0390,Logística Global,2025-07-29,51.96,9.87,61.83,1,51.96,0.0
F25-0391,Logística Global,2025-10-09,1695.99,322.24,2018.23,1,1695.99,0.0
F25-0392,Tech Solutions,2025-07-22,127.5,24.23,151.72,1,127.5,0.0
F25-0393,Inversiones ABC,2025-12-22,4508.4,856.6,5365.0,1,4508.4,0.0
F25-0394,Inversiones ABC,2025-04-27,19251.96,3657.87,22909.83,1,19251.96,0.0
F25-0395,Tienda Don Pepe,2025-12-23,38.97,7.4,46.37,1,38.97,0.0
F25-0396,Tech Solutions,2025-03-01,1132.5,215.18,1347.67,1,1132.5,0.0
F25-0397,Servicios Express,2025-08-12,20550.0,3904.5,24454.5,1,20550.0,0.0
F25-0398,Tech Solutions,2025-05-24,300.0,57.0,357.0,1,300.0,0.0
F25-0399,Inversiones ABC,2025-12-02,12885.0,2448.15,15333.15,1,12885.0,0.0
F25-0400,Inversiones ABC,2025-11-15,2268.0,430.92,2698.92,1,2268.0,0.0
F25-0401,Tech Solutions,2025-08-01,10851.0,2061.69,12912.69,1,10851.0,0.0
F25-0402,Servicios Express,2025-02-28,1078.5,204.91,1283.41,1,1078.5,0.0
F25-0403,Inversiones ABC,2025-07-14,7753.98,1473.26,9227.24,1,7753.98,0.0
F25-0404,Tech Solutions,2025-07-25,4426.5,841.03,5267.53,1,4426.5,0.0
F25-0405,Logística Global,2025-08-12,7316.91,1390.21,8707.12,1,7316.91,0.0
F25-0406,Logística Global,2025-06-26,19504.5,3705.86,23210.35,1,19504.5,0.0
F25-0407,Tech Solutions,2025-02-20,765.0,145.35,910.35,1,765.0,0.0
F25-0408,Inversiones ABC,2025-10-23,394.41,74.94,469.35,1,394.40999999999997,5.684341886080802e-14
F25-0409,Logística Global,2025-12-08,90.93,17.28,108.21,1,90.93,0.0
F25-0410,Tienda Don Pepe,2025-09-17,360.0,68.4,428.4,1,360.0,0.0
F25-0411,Tienda Don Pepe,2025-09-29,11725.47,2227.84,13953.31,1,11320.47,405.0
F25-0412,Tienda Don Pepe,2025-10-27,2115.0,401.85,2516.85,1,2115.0,0.0
F25-0413,Tech Solutions,2025-12-23,8460.0,1607.4,10067.4,1,8460.0,0.0
F25-0414,Logística Global,2025-08-24,1465.5,278.44,1743.94,1,1465.5,0.0
F25-0415,Inversiones ABC,2025-03-30,3735.93,709.83,4445.76,1,3735.9300000000003,-4.547473508864641e-13
F25-0416,Servicios Express,2025-12-31,13440.0,2553.6,15993.6,1,13440.0,0.0
F25-0417,Tech Solutions,2025-11-06,638.97,121.4,760.37,1,488.97,150.0
F25-0418,Tienda Don Pepe,2025-05-17,1329.42,252.59,1582.01,1,1329.42,0.0
F25-0419,Tech Solutions,2025-03-09,4916.43,934.12,5850.55,1,4916.43,0.0
F25-0420,Servicios Express,2025-02-26,12490.5,2373.2,14863.69,1,12490.5,0.0
F25-0421,Tienda Don Pepe,2025-09-02,1811.94,344.27,2156.21,1,1271.94,540.0
F25-0422,Inversiones ABC,2025-09-06,1200.0,228.0,1428.0,1,1200.0,0.0
F25-0423,Servicios Express,2025-05-05,315.0,59.85,374.85,1,315.0,0.0
F25-0424,Logística Global,2025-04-28,5929.5,1126.61,7056.1,1,5929.5,0.0
F25-0425,Servicios Express,2025-04-09,2700.0,513.0,3213.0,1,2700.0,0.0
F25-0426,Logística Global,2025-06-22,1298.97,246.8,1545.77,1,1298.97,0.0
F25-0427,Tienda Don Pepe,2025-11-27,431.91,82.06,513.97,1,431.90999999999997,5.684341886080802e-14
F25-0428,Tech Solutions,2025-07-15,255.0,48.45,303.45,1,255.0,0.0
F25-0429,Servicios Express,2025-08-14,2670.93,507.48,3178.41,1,2670.9300000000003,-4.547473508864641e-13
F25-0430,Servicios Express,2025-09-01,2003.97,380.75,2384.72,1,2003.97,0.0
F25-0431,Inversiones ABC,2025-12-11,630.93,119.88,750.81,1,630.9300000000001,-1.1368683772161603e-13
F25-0432,Inversiones ABC,2025-07-25,180.0,34.2,214.2,1,180.0,0.0
F25-0433,Tech Solutions,2025-10-06,8867.94,1684.91,10552.85,1,8867.939999999999,1.8189894035458565e-12
F25-0434,Tienda Don Pepe,2025-06-20,1627.5,309.23,1936.72,1,877.5,750.0
F25-0435,Inversiones ABC,2025-05-18,75.0,14.25,89.25,1,75.0,0.0
F25-0436,Tienda Don Pepe,2025-06-21,675.93,128.43,804.36,1,675.9300000000001,-1.1368683772161603e-13
F25-0437,Inversiones ABC,2025-12-23,5475.0,1040.25,6515.25,1,5475.0,0.0
F25-0438,Tech Solutions,2025-02-06,6000.0,1140.0,7140.0,1,6000.0,0.0
F25-0439,Tech Solutions,2025-09-19,4180.98,794.39,4975.37,1,4180.98,0.0
F25-0440,Tienda Don Pepe,2025-10-05,1387.5,263.62,1651.12,1,1387.5,0.0
F25-0441,Logística Global,2025-01-09,116.91,22.21,139.12,1,116.91,0.0
F25-0442,Servicios Express,2025-11-17,5205.93,989.13,6195.06,1,5205.93,0.0
F25-0443,Tech Solutions,2025-08-16,750.0,142.5,892.5,1,750.0,0.0
F25-0444,Tech Solutions,2025-08-06,193.89,36.84,230.73,1,168.39000000000001,25.49999999999997
F25-0445,Tech Solutions,2025-06-07,7650.0,1453.5,9103.5,1,7650.0,0.0
F25-0446,Tech Solutions,2025-02-12,540.0,102.6,642.6,1,540.0,0.0
F25-0447,Tech Solutions,2025-05-18,501.96,95.37,597.33,1,501.96,0.0
F25-0448,Tech Solutions,2025-04-17,165.0,31.35,196.35,1,165.0,0.0
F25-0449,Logística Global,2025-08-03,7988.97,1517.9,9506.87,1,7988.97,0.0
F25-0450,Inversiones ABC,2025-10-09,1978.98,376.01,2354.99,1,1978.98,0.0
F25-0451,Servicios Express,2025-01-05,1791.9,340.46,2132.36,1,1740.9,51.0
F25-0452,Servicios Express,2025-06-17,14640.0,2781.6,17421.6,1,14640.0,0.0
F25-0453,Tienda Don Pepe,2025-12-28,150.0,28.5,178.5,1,75.0,75.0
F25-0454,Tech Solutions,2025-07-04,12862.5,2443.88,15306.38,1,12862.5,0.0
F25-0455,Tech Solutions,2025-12-31,12375.0,2351.25,14726.25,1,12375.0,0.0
F25-0456,Logística Global,2025-12-27,9121.86,1733.15,10855.01,1,9121.86,0.0
F25-0457,Inversiones ABC,2025-06-21,4237.5,805.12,5042.62,1,4237.5,0.0
F25-0458,Inversiones ABC,2025-06-06,12195.0,2317.05,14512.05,1,12195.0,0.0
F25-0459,Servicios Express,2025-07-16,645.0,122.55,767.55,1,645.0,0.0
F25-0460,Tech Solutions,2025-10-01,231.0,43.89,274.89,1,231.0,0.0
F25-0461,Tech Solutions,2025-11-17,1932.99,367.27,2300.26,1,1932.99,0.0
F25-0462,Tienda Don Pepe,2025-09-03,987.0,187.53,1174.53,1,987.0,0.0
F25-0463,Servicios Express,2025-01-19,13272.99,2521.87,15794.86,1,13272.99,0.0
F25-0464,Tech Solutions,2025-04-19,387.84,73.69,461.53,1,387.84000000000003,-5.684341886080802e-14
F25-0465,Servicios Express,2025-03-11,1755.0,333.45,2088.45,1,1755.0,0.0
F25-0466,Logística Global,2025-02-21,6045.0,1148.55,7193.55,1,6045.0,0.0
F25-0467,Logística Global,2025-09-22,9842.49,1870.07,11712.56,1,9842.49,0.0
F25-0468,Logística Global,2025-07-21,181.86,34.55,216.41,1,181.86,0.0
F25-0469,Inversiones ABC,2025-07-09,8619.9,1637.78,10257.68,1,8619.9,0.0
F25-0470,Tech Solutions,2025-09-09,153.0,29.07,182.07,1,153.0,0.0
F25-0471,Logística Global,2025-09-12,7654.5,1454.36,9108.85,1,4054.5,3600.0
F25-0472,Servicios Express,2025-06-06,1690.44,321.18,2011.62,1,1690.44,0.0
F25-0473,Logística Global,2025-09-29,3045.0,578.55,3623.55,1,3045.0,0.0
F25-0474,Logística Global,2025-06-23,966.0,183.54,1149.54,1,966.0,0.0
F25-0475,Servicios Express,2025-05-10,14820.0,2815.8,17635.8,1,14820.0,0.0
F25-0476,Inversiones ABC,2025-05-14,16035.0,3046.65,19081.65,1,16035.0,0.0
F25-0477,Servicios Express,2025-06-28,1440.0,273.6,1713.6,1,1440.0,0.0
F25-0478,Inversiones ABC,2025-08-25,2080.5,395.3,2475.8,1,2080.5,0.0
F25-0479,Inversiones ABC,2025-03-26,225.0,42.75,267.75,1,225.0,0.0
F25-0480,Tech Solutions,2025-04-11,2080.98,395.39,2476.37,1,2080.98,0.0
F25-0481,Inversiones ABC,2025-02-23,11327.94,2152.31,13480.25,1,11327.94,0.0
F25-0482,Tienda Don Pepe,2025-11-16,315.0,59.85,374.85,1,315.0,0.0
F25-0483,Tech Solutions,2025-04-06,6151.5,1168.79,7320.28,1,6151.5,0.0
F25-0484,Tienda Don Pepe,2025-08-06,9825.0,1866.75,11691.75,1,9825.0,0.0
F25-0485,Logística Global,2025-04-20,8554.92,1625.43,10180.35,1,8554.92,0.0
F25-0486,Tienda Don Pepe,2025-01-08,8575.5,1629.35,10204.84,1,8575.5,0.0
F25-0487,Servicios Express,2025-05-17,25335.0,4813.65,30148.65,1,25335.0,0.0
F25-0488,Inversiones ABC,2025-11-01,2025.0,384.75,2409.75,1,2025.0,0.0
F25-0489,Logística Global,2025-05-28,45.0,8.55,53.55,1,45.0,0.0
F25-0490,Servicios Express,2025-09-28,10185.0,1935.15,12120.15,1,10185.0,0.0
F25-0491,Tech Solutions,2025-11-25,1786.5,339.44,2125.93,1,1786.5,0.0
F25-0492,Logística Global,2025-07-09,1228.92,233.49,1462.41,1,1228.92,0.0
F25-0493,Logística Global,2025-05-22,5542.98,1053.17,6596.15,1,5364.48,178.5
F25-0494,Logística Global,2025-02-18,1560.0,296.4,1856.4,1,1485.0,75.0
F25-0495,Tech Solutions,2025-05-18,13905.0,2641.95,16546.95,1,13905.0,0.0
F25-0496,Tienda Don Pepe,2025-02-11,12771.0,2426.49,15197.49,1,12771.0,0.0
F25-0497,Logística Global,2025-10-05,13392.99,2544.67,15937.66,1,13392.99,0.0
F25-0498,Tech Solutions,2025-12-03,1530.0,290.7,1820.7,1,1530.0,0.0
F25-0499,Inversiones ABC,2025-03-28,19952.94,3791.06,23744.0,1,19952.94,0.0
F25-0500,Logística Global,2025-11-30,293.97,55.85,349.82,1,293.97,0.0
F25-0501,Tech Solutions,2025-03-19,1639.5,311.5,1951.01,1,1639.5,0.0
F25-0502,Inversiones ABC,2025-02-13,1137.93,216.21,1354.14,1,1137.93,0.0
F25-0503,Inversiones ABC,2025-06-30,11434.5,2172.55,13607.06,1,11434.5,0.0
F25-0504,Tienda Don Pepe,2025-04-08,225.0,42.75,267.75,1,225.0,0.0
F25-0505,Tech Solutions,2025-03-11,360.0,68.4,428.4,1,360.0,0.0
F25-0506,Tech Solutions,2025-08-11,1233.0,234.27,1467.27,1,1233.0,0.0
F25-0507,Tech Solutions,2025-06-04,1665.0,316.35,1981.35,1,1665.0,0.0
F25-0508,Servicios Express,2025-03-25,2265.93,430.53,2696.46,1,2265.93,0.0
F25-0509,Tienda Don Pepe,2025-07-22,3828.0,727.32,4555.32,1,3828.0,0.0
F25-0510,Tech Solutions,2025-01-27,5550.0,1054.5,6604.5,1,5550.0,0.0
F25-0511,Tienda Don Pepe,2025-05-02,8553.0,1625.07,10178.07,1,8553.0,0.0
F25-0512,Servicios Express,2025-07-11,885.0,168.15,1053.15,1,885.0,0.0
F25-0513,Servicios Express,2025-08-04,823.92,156.54,980.46,1,823.92,0.0
F25-0514,Servicios Express,2025-07-10,2910.0,552.9,3462.9,1,2370.0,540.0
F25-0515,Tienda Don Pepe,2025-07-30,1975.98,375.44,2351.42,1,1975.98,0.0
F25-0516,Tienda Don Pepe,2025-09-16,11146.89,2117.91,13264.8,1,11146.89,0.0
F25-0517,Inversiones ABC,2025-02-13,14700.0,2793.0,17493.0,1,14700.0,0.0
F25-0518,Tienda Don Pepe,2025-08-05,1620.0,307.8,1927.8,1,1620.0,0.0
F25-0519,Servicios Express,2025-06-16,450.0,85.5,535.5,1,450.0,0.0
F25-0520,Servicios Express,2025-04-17,1214.91,230.83,1445.74,1,1214.91,0.0
F25-0521,Tienda Don Pepe,2025-12-15,10710.0,2034.9,12744.9,1,10560.0,150.0
F25-0522,Inversiones ABC,2025-06-09,38.97,7.4,46.37,1,38.97,0.0
F25-0523,Inversiones ABC,2025-07-06,1984.98,377.15,2362.13,1,1984.98,0.0
F25-0524,Logística Global,2025-07-30,810.0,153.9,963.9,1,810.0,0.0
F25-0525,Tech Solutions,2025-08-21,6517.5,1238.33,7755.82,1,6517.5,0.0
F25-0526,Tech Solutions,2025-07-02,1845.0,350.55,2195.55,1,1845.0,0.0
F25-0527,Servicios Express,2025-05-01,103.92,19.74,123.66,1,103.92,0.0
F25-0528,Tienda Don Pepe,2025-10-11,1663.92,316.14,1980.06,1,1663.92,0.0
F25-0529,Inversiones ABC,2025-04-06,701.31,133.25,834.56,1,701.31,0.0
F25-0530,Servicios Express,2025-01-18,988.5,187.81,1176.32,1,988.5,0.0
F25-0531,Servicios Express,2025-09-07,7876.5,1496.54,9373.03,1,7876.5,0.0
F25-0532,Inversiones ABC,2025-09-11,7650.0,1453.5,9103.5,1,7650.0,0.0
F25-0533,Logística Global,2025-08-13,129.42,24.59,154.01,1,129.42000000000002,-2.842170943040401e-14
F25-0534,Tienda Don Pepe,2025-05-31,22800.0,4332.0,27132.0,1,22800.0,0.0
F25-0535,Servicios Express,2025-08-10,205.5,39.05,244.55,1,205.5,0.0
F25-0536,Tech Solutions,2025-10-24,580.5,110.3,690.79,1,580.5,0.0
F25-0537,Logística Global,2025-09-09,2881.5,547.49,3428.99,1,2881.5,0.0
F25-0538,Logística Global,2025-04-17,439.95,83.59,523.54,1,439.95,0.0
F25-0539,Tech Solutions,2025-10-18,8184.0,1554.96,9738.96,1,8184.0,0.0
F25-0540,Logística Global,2025-06-11,4200.0,798.0,4998.0,1,4200.0,0.0
F25-0541,Servicios Express,2025-11-01,2683.92,509.94,3193.86,1,2683.92,0.0
F25-0542,Servicios Express,2025-09-28,587.94,111.71,699.65,1,587.94,0.0
F25-0543,Tech Solutions,2025-05-06,3004.95,570.94,3575.89,1,3004.95,0.0
F25-0544,Servicios Express,2025-11-11,12390.0,2354.1,14744.1,1,12390.0,0.0
F25-0545,Servicios Express,2025-03-08,17019.39,3233.68,20253.07,1,17019.39,0.0
F25-0546,Servicios Express,2025-10-24,525.0,99.75,624.75,1,525.0,0.0
F25-0547,Inversiones ABC,2025-05-21,1335.0,253.65,1588.65,1,1335.0,0.0
F25-0548,Inversiones ABC,2025-12-06,1800.0,342.0,2142.0,1,1800.0,0.0
F25-0549,Logística Global,2025-01-25,11236.5,2134.93,13371.43,1,11236.5,0.0
F25-0550,Logística Global,2025-02-11,675.0,128.25,803.25,1,675.0,0.0
F25-0551,Tienda Don Pepe,2025-07-11,652.5,123.98,776.48,1,652.5,0.0
F25-0552,Inversiones ABC,2025-11-24,5277.0,1002.63,6279.63,1,5277.0,0.0
F25-0553,Tienda Don Pepe,2025-08-13,5340.0,1014.6,6354.6,1,4980.0,360.0
F25-0554,Servicios Express,2025-01-31,2198.46,417.71,2616.17,1,2198.46,0.0
F25-0555,Logística Global,2025-01-02,1218.0,231.42,1449.42,1,1218.0,0.0
F25-0556,Tienda Don Pepe,2025-05-17,9427.44,1791.21,11218.65,1,9427.44,0.0
F25-0557,Tienda Don Pepe,2025-01-23,1890.0,359.1,2249.1,1,1890.0,0.0
F25-0558,Tech Solutions,2025-02-17,1572.99,298.87,1871.86,1,1572.99,0.0
F25-0559,Logística Global,2025-05-07,450.0,85.5,535.5,1,450.0,0.0
F25-0560,Logística Global,2025-02-02,10185.93,1935.33,12121.26,1,10185.93,0.0
F25-0561,Logística Global,2025-11-24,831.0,157.89,988.89,1,831.0,0.0
F25-0562,Inversiones ABC,2025-10-26,297.33,56.49,353.82,1,193.41,103.91999999999999
F25-0563,Tienda Don Pepe,2025-12-25,3708.99,704.71,4413.7,1,3708.99,0.0
F25-0564,Tienda Don Pepe,2025-07-04,405.0,76.95,481.95,1,405.0,0.0
F25-0565,Servicios Express,2025-03-21,6090.45,1157.19,7247.64,1,6090.45,0.0
F25-0566,Logística Global,2025-08-07,3105.0,589.95,3694.95,1,3105.0,0.0
F25-0567,Servicios Express,2025-12-07,5213.97,990.65,6204.62,1,5213.97,0.0
F25-0568,Logística Global,2025-09-28,7455.0,1416.45,8871.45,1,7455.0,0.0
F25-0569,Logística Global,2025-10-09,5109.0,970.71,6079.71,1,5109.0,0.0
F25-0570,Tech Solutions,2025-05-17,376.5,71.53,448.03,1,376.5,0.0
F25-0571,Inversiones ABC,2025-05-12,6000.0,1140.0,7140.0,1,6000.0,0.0
F25-0572,Tech Solutions,2025-04-10,1650.0,313.5,1963.5,1,1650.0,0.0
F25-0573,Tech Solutions,2025-10-31,7542.0,1432.98,8974.98,1,7542.0,0.0
F25-0574,Logística Global,2025-12-02,225.0,42.75,267.75,1,225.0,0.0
F25-0575,Servicios Express,2025-08-24,11340.0,2154.6,13494.6,1,11340.0,0.0
F25-0576,Logística Global,2025-11-27,8900.37,1691.07,10591.44,1,8900.37,0.0
F25-0577,Tech Solutions,2025-02-04,3792.45,720.57,4513.02,1,3792.45,0.0
F25-0578,Inversiones ABC,2025-01-05,456.0,86.64,542.64,1,456.0,0.0
F25-0579,Tech Solutions,2025-02-03,23425.98,4450.94,27876.92,1,23425.98,0.0
F25-0580,Inversiones ABC,2025-11-13,15090.93,2867.28,17958.21,1,15090.93,0.0
F25-0581,Tienda Don Pepe,2025-03-12,12360.0,2348.4,14708.4,1,12360.0,0.0
F25-0582,Inversiones ABC,2025-07-09,1481.94,281.57,1763.51,1,1481.94,0.0
F25-0583,Inversiones ABC,2025-06-06,780.0,148.2,928.2,1,780.0,0.0
F25-0584,Logística Global,2025-04-16,5281.5,1003.49,6284.98,1,5281.5,0.0
F25-0585,Tienda Don Pepe,2025-10-28,5606.91,1065.31,6672.22,1,5606.91,0.0
F25-0586,Inversiones ABC,2025-04-08,4362.0,828.78,5190.78,1,4260.0,102.0
F25-0587,Logística Global,2025-02-02,7598.97,1443.8,9042.77,1,7598.97,0.0
F25-0588,Inversiones ABC,2025-04-11,540.0,102.6,642.6,1,540.0,0.0
F25-0589,Tech Solutions,2025-08-16,1299.9,246.98,1546.88,1,1299.9,0.0
F25-0590,Logística Global,2025-03-12,3676.5,698.53,4375.03,1,3676.5,0.0
F25-0591,Logística Global,2025-04-28,2490.0,473.1,2963.1,1,2490.0,0.0
F25-0592,Servicios Express,2025-10-12,8856.96,1682.82,10539.78,1,8856.96,0.0
F25-0593,Tienda Don Pepe,2025-02-12,77.94,14.81,92.75,1,77.94,0.0
F25-0594,Tech Solutions,2025-02-08,17025.0,3234.75,20259.75,1,17025.0,0.0
F25-0595,Servicios Express,2025-10-22,180.0,34.2,214.2,1,180.0,0.0
F25-0596,Tienda Don Pepe,2025-05-08,12000.0,2280.0,14280.0,1,12000.0,0.0
F25-0597,Tienda Don Pepe,2025-01-05,6064.95,1152.34,7217.29,1,6064.95,0.0
F25-0598,Tienda Don Pepe,2025-03-05,13800.0,2622.0,16422.0,1,13800.0,0.0
F25-0599,Servicios Express,2025-08-09,7032.9,1336.25,8369.15,1,7032.9,0.0
F25-0600,Tech Solutions,2025-09-01,12726.96,2418.12,15145.08,1,12726.96,0.0
F25-0601,Servicios Express,2025-04-28,160.98,30.59,191.57,1,160.98,0.0
F25-0602,Tienda Don Pepe,2025-08-01,4902.0,931.38,5833.38,1,4902.0,0.0
F25-0603,Tech Solutions,2025-10-03,3525.0,669.75,4194.75,1,3525.0,0.0
F25-0604,Servicios Express,2025-05-26,2760.0,524.4,3284.4,1,2760.0,0.0
F25-0605,Inversiones ABC,2025-06-01,2731.5,518.99,3250.49,1,2731.5,0.0
F25-0606,Servicios Express,2025-07-07,2385.0,453.15,2838.15,1,2385.0,0.0
